ES018F;Logroño;;;
ES019C;Bilbao;;;
ES019F;Bilbao;;;
ES020C;Córdoba;;;
ES020F;Córdoba;;;
ES021C;Alicante/Alacant;;;
ES021F;Alicante/Alacant;;;
ES022C;Vigo;;;
ES022F;Vigo;;;
ES023C;Gijón;;;
ES023F;Gijón;;;
ES024C;Santa Cruz de Tenerife;;;
ES024F;Santa Cruz de Tenerife;;;
ES025C;A Coruña;;;
ES025F;A Coruña;;;
ES026C;Reus;;;
ES026F;Reus;;;
ES027C;Telde;;;
ES028C;Lugo;;;
ES028F;Lugo;;;
ES029C;San Fernando;;;
ES030C;Girona;;;
ES030F;Girona;;;
ES031C;Cáceres;;;
ES031F;Cáceres;;;
ES032C;Torrevieja;;;
ES032F;Torrevieja;;;
ES033C;Puerto de Santa María, El;;;
ES033F;Puerto de Santa María, El;;;
ES034C;Avilés;;;
ES034F;Avilés;;;
ES035C;Talavera de la Reina;;;
ES035F;Talavera de la Reina;;;
ES036C;Palencia;;;
ES036F;Palencia;;;
ES037C;Ferrol;;;
ES037F;Ferrol;;;
ES038C;Pontevedra;;;
ES038F;Pontevedra;;;
ES039C;Ceuta;;;
ES039F;Ceuta;;;
ES040C;Gandia;;;
ES040F;Gandia;;;
ES041C;Guadalajara;;;
ES041F;Guadalajara;;;
ES042C;Manresa;;;
ES042F;Manresa;;;
ES043C;Ciudad Real;;;
ES043F;Ciudad Real;;;
ES044C;Benidorm;;;
ES044F;Benidorm;;;
ES045C;Melilla;;;
ES045F;Melilla;;;
ES046C;Ponferrada;;;
ES046F;Ponferrada;;;
ES047C;Zamora;;;
ES047F;Zamora;;;
ES048C;Fuengirola;;;
ES049C;Sanlúcar de Barrameda;;;
ES049F;Sanlúcar de Barrameda;;;
ES050C;Vilanova i la Geltrú;;;
ES051C;Línea de la Concepción, La;;;
ES051F;Línea de la Concepción, La;;;
ES052C;Torremolinos;;;
ES053C;Irun;;;
ES053F;Irun;;;
ES054C;Granollers;;;
ES055C;Arrecife;;;
ES055F;Arrecife;;;
ES056C;Elda;;;
ES056F;Elda;;;
ES057C;Santa Lucía de Tirajana;;;
ES057F;Santa Lucía de Tirajana;;;
ES058C;Mollet del Vallès;;;
ES059C;Granada;;;
ES059F;Granada;;;
ES060C;Elche/Elx;;;
ES060F;Elche/Elx;;;
ES061C;Cartagena;;;
ES061F;Cartagena;;;
ES062C;Jerez de la Frontera;;;
ES062F;Jerez de la Frontera;;;
ES063C;San Sebastián/Donostia;;;
ES063F;San Sebastián/Donostia;;;
